artist,artist_followers,artist_popularity,duration_ms,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss,annualGrammy,GrammyYear
Michael Jackson,7649125,86,258040,0.0491,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,0.779,258040,0.867,1OOtq8tRnDM8kG2gqUPjAj,7.98E-06,3,0.197,-3.704,0,0.0457,138.858,4,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,audio_features,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,0.915,809,289,77,11/30/82,1983,1OOtq8tRnDM8kG2gqUPjAj,Beat It,Beat It - Single Version,1,26,1984
Kid Cudi,2740990,78,227346,0.0727,https://api.spotify.com/v1/audio-analysis/1RUTIdTnFs8lHSc0Zr4UJB,0.66,227347,0.875,1RUTIdTnFs8lHSc0Zr4UJB,3.74E-05,10,0.358,-6.057,0,0.0889,120.034,4,https://api.spotify.com/v1/tracks/1RUTIdTnFs8lHSc0Zr4UJB,audio_features,spotify:track:1RUTIdTnFs8lHSc0Zr4UJB,0.611,645,199,56,1/1/09,1967,1RUTIdTnFs8lHSc0Zr4UJB,"Up, Up And Away",Up Up & Away,1,10,1968
Mark Ronson,444408,81,269666,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15E-05,0,0.0344,-7.223,1,0.0824,114.988,4,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928,638,156,80,1/12/15,2015,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,Uptown Funk,1,58,2016
Adele,12597088,85,228293,0.131,https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X,0.729,228293,0.756,1CkvWZme3pRgbzaxZnTl5X,0,8,0.0527,-5.119,1,0.0294,104.945,4,https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X,audio_features,spotify:track:1CkvWZme3pRgbzaxZnTl5X,0.522,621,146,72,1/19/11,2011,1CkvWZme3pRgbzaxZnTl5X,Rolling In The Deep,Rolling in the Deep,1,54,2012
Daft Punk,4802826,82,369626,0.0378,https://api.spotify.com/v1/audio-analysis/69kOkLUCkxIZYexIgSG8rq,0.81,369627,0.793,69kOkLUCkxIZYexIgSG8rq,1.82E-06,6,0.072,-9.404,0,0.0403,116.049,4,https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq,audio_features,spotify:track:69kOkLUCkxIZYexIgSG8rq,0.863,609,77,70,5/17/13,2013,69kOkLUCkxIZYexIgSG8rq,Get Lucky,Get Lucky,1,56,2014
Bruno Mars,18255232,90,225983,0.034,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,0,1,0.153,-4.282,1,0.0797,106.97,4,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.632,549,201,79,11/17/16,2017,6b8Be6ljOzmkOmFslEb23P,24K Magic,24K Magic,1,60,2018
Alien Ant Farm,366913,62,209266,0.00434,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,0.647,209267,0.964,5z6xHjCZr7a7AIcy8sPBKy,0.0036,9,0.15,-4.225,0,0.06,126.942,4,https://api.spotify.com/v1/tracks/5z6xHjCZr7a7AIcy8sPBKy,audio_features,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,0.875,532,83,72,1/1/01,1999,5z6xHjCZr7a7AIcy8sPBKy,Smooth,Smooth Criminal,1,42,2000
Sheryl Crow,413590,67,272106,0.113,https://api.spotify.com/v1/audio-analysis/3ZpQiJ78LKINrW9SQTgbXd,0.836,272107,0.533,3ZpQiJ78LKINrW9SQTgbXd,0.0105,9,0.296,-11.263,1,0.0332,120.08,4,https://api.spotify.com/v1/tracks/3ZpQiJ78LKINrW9SQTgbXd,audio_features,spotify:track:3ZpQiJ78LKINrW9SQTgbXd,0.957,501,188,64,8/3/93,1994,3ZpQiJ78LKINrW9SQTgbXd,All I Wanna Do,All I Wanna Do,1,37,1995
Quinn XCII,230030,75,255000,0.161,https://api.spotify.com/v1/audio-analysis/4gHSezW5CHZCvjAUjF2pd5,0.652,255000,0.802,4gHSezW5CHZCvjAUjF2pd5,0,11,0.143,-5.308,1,0.0669,167.952,5,https://api.spotify.com/v1/tracks/4gHSezW5CHZCvjAUjF2pd5,audio_features,spotify:track:4gHSezW5CHZCvjAUjF2pd5,0.559,498,208,64,4/28/15,1990,4gHSezW5CHZCvjAUjF2pd5,Another Day In Paradise,Another Day in Paradise,1,33,1991
Seal,672269,67,288426,0.684,https://api.spotify.com/v1/audio-analysis/3YKptz29AsOlm7WAVnztBh,0.583,288427,0.532,3YKptz29AsOlm7WAVnztBh,0,10,0.306,-7.11,0,0.0309,131.741,3,https://api.spotify.com/v1/tracks/3YKptz29AsOlm7WAVnztBh,audio_features,spotify:track:3YKptz29AsOlm7WAVnztBh,0.223,487,116,72,5/31/94,1995,3YKptz29AsOlm7WAVnztBh,Kiss From A Rose,Kiss From A Rose,1,38,1996
