album_url,artist,artist_followers,artist_image_url_l,artist_image_url_s,artist_popularity,duration_ms,features.acousticness,features.analysis_url,features.danceability,features.duration_ms,features.energy,features.id,features.instrumentalness,features.key,features.liveness,features.loudness,features.mode,features.speechiness,features.tempo,features.time_signature,features.track_href,features.type,features.uri,features.valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss
https://i.scdn.co/image/802f9b8d3391cc8d9e0aa379ee3f148bb7de9f5e,Alan Walker,5400694,https://i.scdn.co/image/9221df357035db0fefe1bda40a8e2c3377bfaad9,https://i.scdn.co/image/55b19e031041baad492dbf49a920a424fb5721a8,86,199111,0.303,https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb,0.658,199111,0.678,5yFSF6qQA1rcLsQRnBsZgb,0,1,0.361,-4.407,1,0.058,97.976,4,https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb,audio_features,spotify:track:5yFSF6qQA1rcLsQRnBsZgb,0.662,29004,11798,80,10/27/17,2017,5yFSF6qQA1rcLsQRnBsZgb,All Falls Down,All Falls Down (feat. Juliander),0
https://i.scdn.co/image/241aa0296152106b19e6d35bf562c41a0f74513d,Graham BLVD,411751,https://i.scdn.co/image/853d77fb4c4834e2b9308027489e60ce6a70dca7,https://i.scdn.co/image/f30641e62cc7ff58f96c68b1a5353d0084a2d855,0,218363,0.476,https://api.spotify.com/v1/audio-analysis/0KoMYH9cA7RHuVMrwYPchn,0.807,218363,0.602,0KoMYH9cA7RHuVMrwYPchn,1.64E-06,6,0.0997,-4.43,0,0.268,98.042,4,https://api.spotify.com/v1/tracks/0KoMYH9cA7RHuVMrwYPchn,audio_features,spotify:track:0KoMYH9cA7RHuVMrwYPchn,0.815,9093,2775,0,11/9/17,2017,0KoMYH9cA7RHuVMrwYPchn,Independent Women Part I,Independent Women Part I,0
https://i.scdn.co/image/bccf49605f8146e31330153a6e759b2fad0dae1f,Machine Gun Kelly,1288988,https://i.scdn.co/image/67f0e4ca9a5dba6b8497c88c38f1e7b36e71dd8e,https://i.scdn.co/image/bb5281a25dac235b8632595d44994610b651fcc8,79,239293,0.214,https://api.spotify.com/v1/audio-analysis/1PSBzsahR2AKwLJgx8ehBj,0.697,239293,0.691,1PSBzsahR2AKwLJgx8ehBj,0,2,0.185,-4.757,1,0.146,137.853,4,https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj,audio_features,spotify:track:1PSBzsahR2AKwLJgx8ehBj,0.305,3020,1279,73,5/12/17,2017,1PSBzsahR2AKwLJgx8ehBj,Bad Things,Bad Things (with Camila Cabello),0
https://i.scdn.co/image/14cfe6670c2d0b871f098e604806f25b76ff6956,Lil Skies,1771497,https://i.scdn.co/image/1ca2a6d7a0f3e7bd8ccf8982681f9bde6d4938ef,https://i.scdn.co/image/e2d587b94e8375f4ba57c8b8051d034a8ea4a785,85,262544,0.547,https://api.spotify.com/v1/audio-analysis/3ZhTT6yjZwpPph5MIJ53XY,0.691,262544,0.683,3ZhTT6yjZwpPph5MIJ53XY,0,0,0.221,-7.335,1,0.0954,140.002,4,https://api.spotify.com/v1/tracks/3ZhTT6yjZwpPph5MIJ53XY,audio_features,spotify:track:3ZhTT6yjZwpPph5MIJ53XY,0.456,819,281,80,12/12/17,2017,3ZhTT6yjZwpPph5MIJ53XY,Roses,Red Roses (feat. Landon Cube),0
https://i.scdn.co/image/b6ff79f9faeab5753a5d6e33146c3ba02ea75e4f,Big Sean,5322100,https://i.scdn.co/image/75050184de713540aab408913f2b2d53cb45974f,https://i.scdn.co/image/3e078572245ba8875cc2f04fa9ac817d1aaccaff,85,222360,0.105,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,0.77,222360,0.567,0SGkqnVQo9KPytSri1H6cF,0,2,0.125,-5.698,1,0.175,81.477,4,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,audio_features,spotify:track:0SGkqnVQo9KPytSri1H6cF,0.26,801,300,77,2/3/17,2017,0SGkqnVQo9KPytSri1H6cF,Bounce Back,Bounce Back,0
https://i.scdn.co/image/e8468776f7a0e12af7e9ad9430406a5f927c387d,Ayo & Teo,541432,https://i.scdn.co/image/83dc4d7f45e4ec2d76ff750f7341ffa623628caf,https://i.scdn.co/image/bd8ae4a7f7c1611ea80b9435aadb3faa4d777c80,67,238586,0.0837,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt,0.804,238587,0.886,0pSBuHjILhNEo55xK1zrRt,0,1,0.266,-2.512,1,0.04,144.946,4,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,audio_features,spotify:track:0pSBuHjILhNEo55xK1zrRt,0.789,730,152,75,3/15/17,2017,0pSBuHjILhNEo55xK1zrRt,Rolex,Rolex,0
https://i.scdn.co/image/32dbd227fc8cc94fb7ec9ab5bddc8e9ca72db125,Hugh Jackman,411751,https://i.scdn.co/image/853d77fb4c4834e2b9308027489e60ce6a70dca7,https://i.scdn.co/image/f30641e62cc7ff58f96c68b1a5353d0084a2d855,0,302146,0.000239,https://api.spotify.com/v1/audio-analysis/4ylWMuGbMXNDgDd8lErEle,0.417,302147,0.824,4ylWMuGbMXNDgDd8lErEle,0.0545,11,0.0725,-7.36,0,0.105,157.92,4,https://api.spotify.com/v1/tracks/4ylWMuGbMXNDgDd8lErEle,audio_features,spotify:track:4ylWMuGbMXNDgDd8lErEle,0.4,726,174,80,12/8/17,2017,4ylWMuGbMXNDgDd8lErEle,The Greatest,The Greatest Show,0
https://i.scdn.co/image/f56f23cbd3783f8594a4871ca0424ffb9de7a5cd,Migos,7841339,https://i.scdn.co/image/98b8cc9b24841b0f516dfc52e9228ff7f47041f2,https://i.scdn.co/image/f31fe04e6bfd7d154cc6434cbec87483b8d2d46e,87,242407,0.242,https://api.spotify.com/v1/audio-analysis/7KOlJ92bu51cltsD9KU5I7,0.865,242407,0.687,7KOlJ92bu51cltsD9KU5I7,0,10,0.158,-3.744,0,0.217,139.023,4,https://api.spotify.com/v1/tracks/7KOlJ92bu51cltsD9KU5I7,audio_features,spotify:track:7KOlJ92bu51cltsD9KU5I7,0.486,722,283,74,1/27/17,2017,7KOlJ92bu51cltsD9KU5I7,T-Shirt,T-Shirt,0
https://i.scdn.co/image/296853b979d665ed43312182160d5404866c5090,A Boogie Wit da Hoodie,2127426,https://i.scdn.co/image/6c9e147b3ea8d9cbcc3cfc7e15f83ef3c344263b,https://i.scdn.co/image/ce6cae786d3cf0d36db094ff08b23e9847a9c419,82,209269,0.501,https://api.spotify.com/v1/audio-analysis/1f5cbQtDrykjarZVrShaDI,0.839,209269,0.81,1f5cbQtDrykjarZVrShaDI,0,5,0.117,-5.274,0,0.0568,129.014,4,https://api.spotify.com/v1/tracks/1f5cbQtDrykjarZVrShaDI,audio_features,spotify:track:1f5cbQtDrykjarZVrShaDI,0.814,718,460,79,9/29/17,2017,1f5cbQtDrykjarZVrShaDI,Drowning,Drowning (feat. Kodak Black),0
https://i.scdn.co/image/16bf22e42bedaa2fef3323ad02e7858a2405eb1f,Camila Cabello,7387442,https://i.scdn.co/image/aa9f03ea0bd3bda2683a6598361942561f7fd3aa,https://i.scdn.co/image/7dce1aa42eed23fe5bba6085babc98ac760b3947,88,228893,0.0295,https://api.spotify.com/v1/audio-analysis/4xBjsLUSjcx2h7PcRikpQp,0.655,228893,0.576,4xBjsLUSjcx2h7PcRikpQp,0.115,5,0.132,-6.735,0,0.0536,139.953,4,https://api.spotify.com/v1/tracks/4xBjsLUSjcx2h7PcRikpQp,audio_features,spotify:track:4xBjsLUSjcx2h7PcRikpQp,0.167,713,198,71,8/3/17,2017,4xBjsLUSjcx2h7PcRikpQp,OMG,OMG,0
https://i.scdn.co/image/32dbd227fc8cc94fb7ec9ab5bddc8e9ca72db125,Hugh Jackman,411751,https://i.scdn.co/image/853d77fb4c4834e2b9308027489e60ce6a70dca7,https://i.scdn.co/image/f30641e62cc7ff58f96c68b1a5353d0084a2d855,0,214373,0.00433,https://api.spotify.com/v1/audio-analysis/2cKovq3l6OJjhVVDbVKOsr,0.638,214373,0.795,2cKovq3l6OJjhVVDbVKOsr,0.00139,0,0.153,-8.45,1,0.302,153.99,4,https://api.spotify.com/v1/tracks/2cKovq3l6OJjhVVDbVKOsr,audio_features,spotify:track:2cKovq3l6OJjhVVDbVKOsr,0.31,707,223,78,12/8/17,2017,2cKovq3l6OJjhVVDbVKOsr,The Other Side,The Other Side,0
https://i.scdn.co/image/0ea8577fe124691ddce00bccf9677b16166a21db,Lil Uzi Vert,5306107,https://i.scdn.co/image/7b94c58fe065dc4443d4be1727d2165aed0758bf,https://i.scdn.co/image/622c13394c3cf2ed8197edb6f0121b7f3ce8912f,89,221746,0.617,https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc,0.703,221747,0.757,2eAZfqOm4EnOF9VvN50Tyc,0,1,0.106,-3.612,1,0.05,82.008,4,https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc,audio_features,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,0.696,701,193,79,8/25/17,2017,2eAZfqOm4EnOF9VvN50Tyc,The Way,The Way Life Goes (feat. Oh Wonder),0
https://i.scdn.co/image/31b0a579225a718b4b1aea0ac6f9e9bdd3da17b0,Future,7380080,https://i.scdn.co/image/47078f4e225e8402b4f99ff2bfeb99041e1b1f3b,https://i.scdn.co/image/8a4689478df588402b1d77e6dc04a7947fdd78c0,92,204600,0.0102,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,0.833,204600,0.434,0VgkVdmE4gld66l8iyGjgx,0.0219,2,0.165,-8.795,1,0.431,150.062,4,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,audio_features,spotify:track:0VgkVdmE4gld66l8iyGjgx,0.281,653,228,81,6/30/17,2017,0VgkVdmE4gld66l8iyGjgx,Mask Off,Mask Off,0
https://i.scdn.co/image/8f8a22af30187754febdd377717551107ea510f0,Majid Jordan,348147,https://i.scdn.co/image/9693dfac626f5fc9af2ab589539e1c91d08fed03,https://i.scdn.co/image/2c06cd48a4e2bb27e88aa77e82e2ce9d3b1c48fe,70,212546,0.257,https://api.spotify.com/v1/audio-analysis/6RD9GItAGZ3gbUbx14okHF,0.913,212547,0.223,6RD9GItAGZ3gbUbx14okHF,8.78E-05,11,0.0786,-12.421,0,0.321,139.968,4,https://api.spotify.com/v1/tracks/6RD9GItAGZ3gbUbx14okHF,audio_features,spotify:track:6RD9GItAGZ3gbUbx14okHF,0.35,642,390,64,10/27/17,2017,6RD9GItAGZ3gbUbx14okHF,The Space Between,One I Want (feat. PARTYNEXTDOOR),0
https://i.scdn.co/image/935655684497ababf12b8e90be788ddfd9266354,Demi Lovato,11733608,https://i.scdn.co/image/248c1b018defafe93f9394b41bfdb8110ccff536,https://i.scdn.co/image/b2e15be12453b28ff54fb7624c2920a11f8b8cfe,87,203760,0.0223,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,0.702,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0,11,0.283,-6.917,0,0.265,144.004,4,https://api.spotify.com/v1/tracks/3Du2K5dLzmduCNp6uwuaL0,audio_features,spotify:track:3Du2K5dLzmduCNp6uwuaL0,0.873,639,137,81,9/29/17,2017,3Du2K5dLzmduCNp6uwuaL0,Sorry,Sorry Not Sorry,0
