artist,artist_followers,artist_popularity,duration_ms,acousticness,analysis_url,danceability,duration_ms.1,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,Predict_Prob
Camila Cabello,7359790,88,217306,0.184,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,0.765,217307,0.523,1rfofaqEpACxVEHIZBJe6W,3.5600000000000005e-05,2,0.132,-4.333,1,0.03,104.988,4,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,0.39399999999999996,626,180,87,1/12/18,2018,1rfofaqEpACxVEHIZBJe6W,Havana,Havana,0.665
G-Eazy,3555960,86,245386,0.0117,https://api.spotify.com/v1/audio-analysis/2Xqd0wUttjueBfdcltADOv,0.838,245387,0.7709999999999999,2Xqd0wUttjueBfdcltADOv,0.0,1,0.0853,-3.7910000000000004,1,0.244,175.957,4,https://api.spotify.com/v1/tracks/2Xqd0wUttjueBfdcltADOv,audio_features,spotify:track:2Xqd0wUttjueBfdcltADOv,0.405,990,252,77,9/7/17,2017,2Xqd0wUttjueBfdcltADOv,No Limit,No Limit,0.18
Halsey,4372908,91,181279,0.0604,https://api.spotify.com/v1/audio-analysis/7y9iMe8SOB6z3NoHE2OfXl,0.675,181279,0.7509999999999999,7y9iMe8SOB6z3NoHE2OfXl,0.0,0,0.0893,-3.5389999999999997,1,0.0296,118.384,4,https://api.spotify.com/v1/tracks/7y9iMe8SOB6z3NoHE2OfXl,audio_features,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,0.612,524,150,79,6/2/17,2017,7y9iMe8SOB6z3NoHE2OfXl,Bad at Love,Bad At Love,0.195
Panic! At The Disco,5397719,88,190946,0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.579,190947,0.904,1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.7289999999999996,1,0.0618,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.6809999999999999,544,124,90,6/22/18,2018,1rqqCSm0Qe4I9rUvWncaom,High Hopes,High Hopes,0.73
Ariana Grande,20732435,96,207333,0.28,https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,0.7240000000000001,207333,0.647,2rPE9A1vEgShuZxxzR2tZH,0.0,1,0.102,-5.642,1,0.0658,106.96,4,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH,audio_features,spotify:track:2rPE9A1vEgShuZxxzR2tZH,0.435,586,175,100,11/3/18,2018,2rPE9A1vEgShuZxxzR2tZH,"Thank U, Next","thank u, next",0.765
Halsey,4372908,91,201660,0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.5329999999999999,510,142,96,10/4/18,2018,5p7ujcrUXASCNwRaWNHR1C,Without Me,Without Me,0.685
Sheck Wes,183535,83,183906,0.19399999999999998,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,0.7290000000000001,183907,0.625,1xzBco0xcoJEDXktl7Jxrr,0.009859999999999999,4,0.248,-5.266,1,0.0315,146.034,4,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,audio_features,spotify:track:1xzBco0xcoJEDXktl7Jxrr,0.261,417,166,93,10/5/18,2018,1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,Mo Bamba,0.68
Kodak Black,3886241,91,228653,0.071,https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA,0.826,225199,0.615,7l3E7lcozEodtVsSTCkcaA,0.0,8,0.0965,-7.979,0,0.21899999999999997,98.056,4,https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA,audio_features,spotify:track:7l3E7lcozEodtVsSTCkcaA,0.5429999999999999,613,412,95,10/12/18,2018,7l3E7lcozEodtVsSTCkcaA,Zeze,ZEZE (feat. Travis Scott & Offset),0.715
Bad Bunny,9481969,95,210367,0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.8170000000000001,210368,0.539,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,0.0621,97.06200000000001,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158,613,412,97,10/11/18,2018,116H0KvKr2Zl4RPuVBruDO,Mia,MIA (feat. Drake),0.705
Lil Baby,1000897,91,145603,0.0945,https://api.spotify.com/v1/audio-analysis/1BxkZE73h9BN3qwuA15TA3,0.9,145603,0.653,1BxkZE73h9BN3qwuA15TA3,0.0,1,0.528,-6.962000000000001,0,0.289,112.50299999999999,4,https://api.spotify.com/v1/tracks/1BxkZE73h9BN3qwuA15TA3,audio_features,spotify:track:1BxkZE73h9BN3qwuA15TA3,0.39899999999999997,657,192,90,9/12/18,2018,1BxkZE73h9BN3qwuA15TA3,Drip Too Hard,Drip Too Hard,0.74
Lady Gaga,6046162,93,215733,0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.5720000000000001,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0.0,7,0.231,-6.362,1,0.0308,95.79899999999999,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.32299999999999995,274,102,92,10/5/18,2018,2VxeLyX666F8uXCJ0dZF8B,Shallow,Shallow,0.695
Marshmello,6694178,90,214289,0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290,0.792,2dpaYNEQHiRxtZbfNsse99,0.0,5,0.16699999999999998,-2.7489999999999997,1,0.0452,100.015,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.6709999999999999,486,133,97,8/17/18,2018,2dpaYNEQHiRxtZbfNsse99,Happier,Happier,0.69
Lil Wayne,6890951,93,324189,0.371,https://api.spotify.com/v1/audio-analysis/0dbTQYW3Ad1FTzIA9t90E8,0.855,324189,0.6940000000000001,0dbTQYW3Ad1FTzIA9t90E8,0.0,2,0.109,-4.393,1,0.16899999999999998,122.07799999999999,4,https://api.spotify.com/v1/tracks/0dbTQYW3Ad1FTzIA9t90E8,audio_features,spotify:track:0dbTQYW3Ad1FTzIA9t90E8,0.49,570,377,86,9/28/18,2018,0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa,Mona Lisa (feat. Kendrick Lamar),0.745
