artist,artist_followers,artist_popularity,duration_ms,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss
Lin-Manuel Miranda,155413,77,200457,0.0198,https://api.spotify.com/v1/audio-analysis/3dskm5fAe8OkBtM9E0VVWx,0.471,200457.0,0.791,3dskm5fAe8OkBtM9E0VVWx,0.0,5.0,0.232,-3.373,0.0,0.238,188.36,4.0,https://api.spotify.com/v1/tracks/3dskm5fAe8OkBtM9E0VVWx,audio_features,spotify:track:3dskm5fAe8OkBtM9E0VVWx,0.507,350,246,51,2017-10-06,2017,3dskm5fAe8OkBtM9E0VVWx,Almost Like Praying,Almost Like Praying (feat. Artists for Puerto Rico),0
Trippie Redd,2188584,91,142648,0.00212,https://api.spotify.com/v1/audio-analysis/284fVGdbsPtigjjI0jmKXo,0.808,142649.0,0.701,284fVGdbsPtigjjI0jmKXo,2.1e-05,2.0,0.126,-4.837,0.0,0.0984,158.068,4.0,https://api.spotify.com/v1/tracks/284fVGdbsPtigjjI0jmKXo,audio_features,spotify:track:284fVGdbsPtigjjI0jmKXo,0.154,409,154,76,2018-11-09,2018,284fVGdbsPtigjjI0jmKXo,Loyalty.,Loyalty Before Royalty,0
Childish Gambino,4086015,82,326933,0.172,https://api.spotify.com/v1/audio-analysis/3kxfsdsCpFgN412fpnW85Y,0.745,326933.0,0.356,3kxfsdsCpFgN412fpnW85Y,0.00943,1.0,0.123,-10.425,1.0,0.0941,160.033,4.0,https://api.spotify.com/v1/tracks/3kxfsdsCpFgN412fpnW85Y,audio_features,spotify:track:3kxfsdsCpFgN412fpnW85Y,0.607,356,118,81,2016-12-02,2016,3kxfsdsCpFgN412fpnW85Y,Redbone,Redbone,0
Sam Smith,7340936,90,239316,0.529,https://api.spotify.com/v1/audio-analysis/7795WJLVKJoAyVoOtCWqXN,0.677,239317.0,0.485,7795WJLVKJoAyVoOtCWqXN,2.04e-05,5.0,0.0766,-5.795,1.0,0.0361,82.001,4.0,https://api.spotify.com/v1/tracks/7795WJLVKJoAyVoOtCWqXN,audio_features,spotify:track:7795WJLVKJoAyVoOtCWqXN,0.493,306,101,82,2014-01-01,2014,7795WJLVKJoAyVoOtCWqXN,I'm The One,I'm Not The Only One,0
YG,1416297,83,237240,0.00552,https://api.spotify.com/v1/audio-analysis/0ZNrc4kNeQYD9koZ3KvCsy,0.745,237240.0,0.346,0ZNrc4kNeQYD9koZ3KvCsy,0.0,1.0,0.0881,-7.709,1.0,0.331,203.911,4.0,https://api.spotify.com/v1/tracks/0ZNrc4kNeQYD9koZ3KvCsy,audio_features,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,0.112,551,364,85,2018-08-03,2018,0ZNrc4kNeQYD9koZ3KvCsy,Stay,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0
Future,7374663,92,204600,0.0102,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,0.833,204600.0,0.434,0VgkVdmE4gld66l8iyGjgx,0.0219,2.0,0.165,-8.795,1.0,0.431,150.062,4.0,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,audio_features,spotify:track:0VgkVdmE4gld66l8iyGjgx,0.281,653,228,81,2017-06-30,2017,0VgkVdmE4gld66l8iyGjgx,Mask Off,Mask Off,0
Kygo,3961834,88,220780,0.119,https://api.spotify.com/v1/audio-analysis/12GEpg2XOPyqk03JZEZnJs,0.64,220781.0,0.533,12GEpg2XOPyqk03JZEZnJs,0.0,0.0,0.0864,-6.596,1.0,0.0706,99.968,4.0,https://api.spotify.com/v1/tracks/12GEpg2XOPyqk03JZEZnJs,audio_features,spotify:track:12GEpg2XOPyqk03JZEZnJs,0.515,552,116,70,2017-02-17,2017,12GEpg2XOPyqk03JZEZnJs,It Ain't Me,It Ain’t Me (with Selena Gomez),0
Ed Sheeran,36259880,93,261153,0.0232,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,0.461,261154.0,0.834,6PCUP3dWmTjcTtXY02oFdT,1.14e-05,2.0,0.14,-4.868,1.0,0.0989,135.007,4.0,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,audio_features,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.471,392,153,81,2017-03-03,2017,6PCUP3dWmTjcTtXY02oFdT,Castle On The Hill,Castle on the Hill,0
A Boogie Wit da Hoodie,2120932,81,209269,0.501,https://api.spotify.com/v1/audio-analysis/1f5cbQtDrykjarZVrShaDI,0.839,209269.0,0.81,1f5cbQtDrykjarZVrShaDI,0.0,5.0,0.117,-5.274,0.0,0.0568,129.014,4.0,https://api.spotify.com/v1/tracks/1f5cbQtDrykjarZVrShaDI,audio_features,spotify:track:1f5cbQtDrykjarZVrShaDI,0.814,718,460,79,2017-09-29,2017,1f5cbQtDrykjarZVrShaDI,Drowning,Drowning (feat. Kodak Black),0
YFN Lucci,955786,70,197170,0.128,https://api.spotify.com/v1/audio-analysis/4PzovBqgnSHKd8opsP7IVM,0.758,197171.0,0.646,4PzovBqgnSHKd8opsP7IVM,0.0,7.0,0.0778,-4.701,1.0,0.112,155.955,4.0,https://api.spotify.com/v1/tracks/4PzovBqgnSHKd8opsP7IVM,audio_features,spotify:track:4PzovBqgnSHKd8opsP7IVM,0.589,590,243,70,2017-03-03,2017,4PzovBqgnSHKd8opsP7IVM,Everyday We Lit,Everyday We Lit (feat. PnB Rock),0
Halsey,4372455,91,214801,0.107,https://api.spotify.com/v1/audio-analysis/7i2DJ88J7jQ8K7zqFX2fW8,0.67,214802.0,0.585,7i2DJ88J7jQ8K7zqFX2fW8,1.11e-06,6.0,0.131,-4.861,0.0,0.0354,110.03,4.0,https://api.spotify.com/v1/tracks/7i2DJ88J7jQ8K7zqFX2fW8,audio_features,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,0.447,567,113,76,2017-06-02,2017,7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,Now Or Never,0
Brett Young,276256,72,224853,0.386,https://api.spotify.com/v1/audio-analysis/10M2Ex445zw585Ducldzkw,0.607,224853.0,0.536,10M2Ex445zw585Ducldzkw,0.0,10.0,0.102,-7.306,1.0,0.0305,147.986,4.0,https://api.spotify.com/v1/tracks/10M2Ex445zw585Ducldzkw,audio_features,spotify:track:10M2Ex445zw585Ducldzkw,0.434,314,100,75,2017-02-10,2017,10M2Ex445zw585Ducldzkw,In Case You Didn't Know,In Case You Didn't Know,0
Migos,7824662,87,304041,0.307,https://api.spotify.com/v1/audio-analysis/6p8NuHm8uCGnn2Dtbtf7zE,0.92,304041.0,0.674,6p8NuHm8uCGnn2Dtbtf7zE,0.0,1.0,0.104,-5.662,0.0,0.264,141.967,4.0,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,audio_features,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,0.741,192,133,78,2017-01-27,2017,6p8NuHm8uCGnn2Dtbtf7zE,Slippery,Slippery (feat. Gucci Mane),0
Julia Michaels,1183203,84,176320,0.401,https://api.spotify.com/v1/audio-analysis/7vu0JkJh0ldukEYbTVcqd0,0.728,176320.0,0.415,7vu0JkJh0ldukEYbTVcqd0,0.0,8.0,0.0616,-6.852,1.0,0.0639,114.145,4.0,https://api.spotify.com/v1/tracks/7vu0JkJh0ldukEYbTVcqd0,audio_features,spotify:track:7vu0JkJh0ldukEYbTVcqd0,0.455,466,104,75,2017-07-28,2017,7vu0JkJh0ldukEYbTVcqd0,Issues,Issues,0
